Category,Count,Percentage
handyman,13,0.013262464165842014
pediatric_dentist,33,0.033666255190214336
african_restaurant,19,0.01938360147315371
wildlife_sanctuary,3,0.0030605686536558496
fireplace_service,16,0.016323032819497863
lottery_ticket,5,0.005100947756093082
railroad_freight,2,0.002040379102437233
latin_american_restaurant,22,0.022444170126809562
cannabis_dispensary,77,0.07855459544383347
synagogue,58,0.05917099397067976
laundry_services,3,0.0030605686536558496
indoor_golf_center,1,0.0010201895512186164
drone_store,4,0.004080758204874466
bathroom_fixture_stores,1,0.0010201895512186164
skilled_nursing,5,0.005100947756093082
bike_rentals,7,0.0071413268585303145
gluten_free_restaurant,4,0.004080758204874466
specialty_grocery_store,8,0.008161516409748932
food_stand,17,0.01734322237071648
ice_cream_and_frozen_yoghurt,26,0.026524928331684027
orthotics,14,0.014282653717060629
perfume_store,3,0.0030605686536558496
